,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
0,khatanga,71.97,102.5,22.65,19.92,22.65,22.65,39,3.23,47,RU,25200
1,upernavik,72.79,-56.15,5.73,3.34,5.73,5.73,85,1.37,100,GL,-7200
2,leningradskiy,69.38,178.42,3.57,-1.79,3.57,3.57,90,5.29,100,RU,43200
3,kruisfontein,-34.0,24.73,14.44,14.04,14.44,14.44,78,0.89,52,ZA,7200
4,albany,42.6,-73.97,16.01,15.1,14.0,17.22,82,2.6,20,US,-14400
5,tiznit,29.58,-9.5,32.87,29.03,32.87,32.87,14,3.05,10,MA,3600
6,biu,10.61,12.19,21.27,23.32,21.27,21.27,90,2.05,90,NG,3600
7,acapulco,16.86,-99.89,25.15,26.93,25.15,25.15,88,4.96,100,MX,-18000
8,port hardy,50.7,-127.42,10.0,8.71,10.0,10.0,93,1.5,5,CA,-25200
9,ushuaia,-54.8,-68.3,4.0,-2.1,4.0,4.0,55,5.1,75,AR,-10800
10,chokurdakh,70.63,147.92,6.33,2.52,6.33,6.33,78,3.24,100,RU,39600
12,vaini,-21.2,-175.2,23.0,26.09,23.0,23.0,88,1.5,20,TO,46800
13,ponta do sol,32.67,-17.1,23.38,18.02,22.22,25.0,50,8.7,20,PT,3600
14,jamestown,42.1,-79.24,15.62,13.6,13.89,17.0,77,3.6,1,US,-14400
15,kuusamo,65.97,29.18,12.0,8.18,12.0,12.0,66,4.1,57,FI,10800
16,kahului,20.89,-156.47,24.15,23.32,22.22,27.0,61,4.1,1,US,-36000
17,saint-georges,12.06,-61.75,28.0,30.75,28.0,28.0,83,5.1,75,GD,-14400
18,punta arenas,-53.15,-70.92,-2.11,-7.85,-2.22,-2.0,86,4.6,82,CL,-10800
19,yellowknife,62.46,-114.35,12.57,11.56,11.67,13.0,93,2.1,90,CA,-21600
20,iquitos,-3.75,-73.25,20.75,23.13,20.75,20.75,81,0.21,0,PE,-18000
21,san carlos,9.66,-68.58,22.77,26.53,22.77,22.77,91,0.77,100,VE,-14400
23,gisborne,-38.65,178.0,7.78,5.8,7.78,7.78,76,0.89,44,NZ,43200
24,thompson,55.74,-97.86,10.0,8.23,10.0,10.0,100,2.6,90,CA,-18000
26,rikitea,-23.12,-134.97,20.89,19.96,20.89,20.89,72,3.97,97,PF,-32400
28,novopokrovka,49.84,36.55,21.34,18.64,21.0,21.67,49,4.0,98,UA,10800
29,nukus,42.45,59.61,25.0,21.15,25.0,25.0,29,4.1,0,UZ,18000
30,hobart,-42.88,147.33,12.68,5.42,11.67,14.0,44,7.7,75,AU,36000
31,mahebourg,-20.41,57.7,22.0,22.27,22.0,22.0,78,3.6,75,MU,14400
32,prestea,5.43,-2.14,21.9,25.56,21.9,21.9,92,0.42,59,GH,0
33,wote,-1.78,37.63,23.14,21.16,23.14,23.14,46,3.24,11,KE,10800
34,provideniya,64.38,-173.3,10.0,8.2,10.0,10.0,82,1.6,91,RU,43200
35,victoria,22.29,114.16,33.46,34.76,33.0,33.89,63,7.7,40,HK,28800
36,avarua,-21.21,-159.78,20.0,22.42,20.0,20.0,88,0.5,80,CK,-36000
37,pasighat,28.07,95.33,34.25,37.8,34.25,34.25,50,1.88,10,IN,19800
38,atuona,-9.8,-139.03,25.77,26.05,25.77,25.77,76,5.73,13,PF,-34200
39,shelburne,44.08,-80.2,11.69,11.2,10.0,12.78,93,1.0,1,CA,-14400
