Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
340,abha,18.22,42.51,26.93,23.21,26.0,28.0,24,3.6,69,SA,10800,Abha Hotel
560,acari,-15.43,-74.62,16.36,15.83,16.36,16.36,75,1.61,60,PE,-18000,Hospedaje Ximens
463,adilcevaz,38.8,42.73,20.0,17.61,20.0,20.0,40,2.1,0,TR,10800,Adilcevaz Ogretmen Evi
80,ahipara,-35.17,173.17,11.21,6.4,11.21,11.21,68,5.42,14,NZ,43200,Ahipara Holiday Park
159,airai,-8.93,125.41,21.23,19.22,21.23,21.23,52,3.32,100,TL,32400,Juvinal Martin
150,akdepe,42.06,59.38,25.51,20.5,25.0,26.0,31,6.2,0,TM,18000,Мой дом
124,aksarka,66.56,67.8,17.52,14.26,17.52,17.52,60,4.6,100,RU,18000,missing value
326,alexandria,31.22,29.96,28.0,29.09,28.0,28.0,56,2.67,0,EG,7200,Royal Crown Hotel
336,alice springs,-23.7,133.88,31.0,24.14,31.0,31.0,10,6.2,0,AU,34200,Desert Palms Alice Springs
374,alihe,50.57,123.72,21.07,20.68,21.07,21.07,57,1.53,87,CN,28800,Alihe Forestry Hotel
575,alvorada,-12.48,-49.12,23.89,22.1,23.89,23.89,35,1.72,93,BR,-10800,Cristal Plaza Hotel
464,alyangula,-13.85,136.42,31.0,26.94,31.0,31.0,29,6.2,20,AU,34200,Groote Eylandt Lodge
290,ambikapur,23.12,83.2,28.05,29.36,28.05,28.05,76,5.95,100,IN,19800,STARiHOTEL Ambikapur
83,antalaha,-14.9,50.28,23.85,25.05,23.85,23.85,79,3.55,19,MG,10800,Hotel Vitasoa
238,apostolove,47.66,33.71,20.77,17.09,20.56,21.0,56,6.0,0,UA,10800,Гостиница Приют
167,arman,59.7,150.17,13.85,11.2,13.85,13.85,48,1.65,100,RU,39600,missing value
79,arraial do cabo,-22.97,-42.03,19.82,16.42,19.82,19.82,78,7.62,48,BR,-10800,Pousada Porto Praia
50,asfi,32.3,-9.24,27.45,23.8,27.45,27.45,43,6.89,0,MA,3600,Hôtel Abda
111,atar,20.52,-13.05,27.26,26.86,27.26,27.26,58,4.73,85,MR,0,Oumou Elghoura
38,atuona,-9.8,-139.03,25.77,26.05,25.77,25.77,76,5.73,13,PF,-34200,Villa Enata
465,awbari,26.59,12.78,26.43,22.71,26.43,26.43,26,3.82,0,LY,7200,فندق أوباري
75,awjilah,29.11,21.29,28.04,28.32,28.04,28.04,44,1.72,0,LY,7200,missing value
386,ayagoz,47.97,80.44,21.35,16.57,21.35,21.35,29,4.58,0,KZ,21600,Gostinitsa Nur
106,bada,51.39,109.87,22.42,20.65,22.42,22.42,40,1.91,85,RU,32400,Kafe Gostinnitsa
216,balkhash,46.84,74.98,22.0,17.11,22.0,22.0,30,5.0,100,KZ,21600,Family
377,bambanglipuro,-7.95,110.28,30.11,26.32,30.11,30.11,51,9.93,31,ID,25200,Puri Brata
129,bambous virieux,-20.34,57.76,23.16,23.92,22.0,24.44,78,3.6,75,MU,14400,Casa Tia Villa
355,bandarbeyla,9.49,50.81,30.49,25.01,30.49,30.49,50,12.36,4,SO,10800,REER XOOSHLE GROUP
301,banjar,-8.19,114.97,29.0,27.36,29.0,29.0,70,9.8,20,ID,28800,The Hamsa Resort
312,barsovo,61.17,73.17,18.0,16.88,18.0,18.0,63,2.0,40,RU,18000,Baza Otdykha Kordon
558,batagay-alyta,67.8,130.41,11.02,7.71,11.02,11.02,43,1.67,0,RU,32400,missing value
63,bathsheba,13.22,-59.52,28.0,29.71,28.0,28.0,78,5.7,40,BB,-14400,Atlantis Hotel
604,bayanday,53.07,105.51,20.05,16.03,20.05,20.05,52,5.77,96,RU,28800,Guesthouse Nika
592,belaya gora,68.53,146.42,9.71,5.35,9.71,9.71,50,3.35,100,RU,39600,missing value
208,beloha,-25.17,45.05,29.08,26.4,29.08,29.08,30,3.78,0,MG,10800,missing value
564,benjamin constant,-4.38,-70.03,20.49,22.38,20.49,20.49,78,0.42,28,BR,-18000,CASA AVALIADA
470,bereznik,62.86,42.71,16.3,14.15,16.3,16.3,70,3.46,100,RU,10800,coastal Hotel
345,beringovskiy,63.05,179.32,11.17,7.39,11.17,11.17,80,4.68,85,RU,43200,Beringgorski
553,blagoyevo,63.37,47.92,17.52,15.71,17.52,17.52,56,2.15,36,RU,10800,missing value
88,bluff,-46.6,168.33,7.22,2.19,7.22,7.22,72,4.92,100,NZ,43200,Bluff Homestead - Guesthouse & Campervan Park
236,bom jesus,-9.07,-44.36,21.11,21.8,21.11,21.11,68,1.3,31,BR,-10800,Hotel Brasão & Floricultura Bella Flor
362,brae,60.4,-1.35,10.0,5.65,10.0,10.0,71,4.6,90,GB,3600,Busta House Hotel
496,bratsk,56.13,101.61,22.41,19.71,22.0,22.78,46,4.0,52,RU,28800,Shvedka
49,bredasdorp,-34.53,20.04,12.0,10.04,12.0,12.0,76,2.1,86,ZA,7200,Bredasdorp Country Manor
51,bubaque,11.28,-15.83,26.75,28.95,26.75,26.75,79,4.19,100,GW,0,Casa Dora
550,bulgan,48.81,103.53,19.76,18.28,19.76,19.76,62,3.12,100,MN,28800,Bulgan Hotel
47,busselton,-33.65,115.33,16.61,16.78,15.56,17.22,72,0.45,94,AU,28800,Observatory Guest House
467,camacupa,-12.02,17.48,19.52,16.73,19.52,19.52,40,2.54,0,AO,3600,missing value
350,cangzhou,38.32,116.87,27.82,29.2,27.82,27.82,64,3.57,100,CN,28800,Jinji Express Hotel
311,cap malheureux,-19.98,57.61,24.44,23.76,24.44,24.44,64,4.47,68,MU,14400,Pereybere Hotel & Spa
123,cape town,-33.93,18.42,12.65,6.09,11.67,13.89,66,8.2,20,ZA,7200,Southern Sun Waterfront Cape Town
153,caravelas,-17.71,-39.25,19.2,17.11,19.2,19.2,76,5.22,2,BR,-10800,Pousada dos Navegantes
307,carnarvon,-24.87,113.63,23.0,17.02,23.0,23.0,49,9.3,55,AU,28800,Hospitality Carnarvon
466,catamarca,-28.47,-65.79,10.0,7.34,10.0,10.0,64,1.79,0,AR,-10800,Amerian Catamarca Park Hotel
511,chegutu,-18.13,30.14,24.16,21.75,24.16,24.16,34,2.54,76,ZW,7200,Jacaranda Lodge
469,chinsali,-10.54,32.08,25.38,24.49,25.38,25.38,42,1.96,0,ZM,7200,Mwiluzi Motel Chinsali Ltd
10,chokurdakh,70.63,147.92,6.33,2.52,6.33,6.33,78,3.24,100,RU,39600,missing value
157,clyde river,70.47,-68.59,5.28,1.47,5.28,5.28,74,2.83,0,CA,-14400,Qamaq Hotel
351,cockburn town,21.46,-71.14,28.3,28.68,28.3,28.3,80,8.2,0,TC,-14400,Osprey Beach Hotel
186,codrington,-38.27,141.97,11.15,8.93,11.15,11.15,75,2.13,100,AU,36000,Codrington Gardens Bed And Breakfast
212,comodoro rivadavia,-45.87,-67.5,2.0,-1.79,2.0,2.0,72,2.1,100,AR,-10800,Austral Hotel
409,dali,25.7,100.18,27.24,26.91,27.24,27.24,44,2.23,0,CN,28800,Dali Travelling With Hostel
118,damghan,36.17,54.35,21.75,18.48,21.75,21.75,25,2.02,0,IR,16200,خوابگاه اساتيد دانشگاه دامغان
428,derbent,42.07,48.29,24.29,22.95,24.29,24.29,51,3.48,0,RU,10800,Elit
605,derzhavinsk,51.1,66.32,25.32,21.4,25.32,25.32,39,5.81,0,KZ,21600,Ooo.khim Baza
378,dunedin,-45.87,170.5,10.05,7.46,9.44,10.56,50,0.89,100,NZ,43200,Scenic Hotel Southern Cross
447,durusu,41.31,28.68,24.89,23.58,24.0,25.56,78,7.7,40,TR,10800,Çınar Pansiyon
277,dutlwe,-23.98,23.9,21.84,15.34,21.84,21.84,21,6.15,0,BW,7200,missing value
264,egra,50.08,12.37,19.12,16.55,18.89,19.44,59,4.1,20,CZ,7200,Hotel Barbarossa
184,esmeraldas,-19.76,-44.31,10.0,6.0,9.0,11.0,71,4.1,23,BR,-10800,Hotel Fazenda Lagoa Azul
320,esperance,-33.87,121.9,18.0,15.75,18.0,18.0,68,4.1,90,AU,28800,Hospitality Esperance
593,evensk,61.95,159.23,10.59,7.57,10.59,10.59,54,1.84,0,RU,39600,missing value
456,faya,18.39,42.45,27.0,23.29,26.0,28.0,24,3.6,71,SA,10800,مقبرة ال مجمل
98,filingue,14.35,3.32,26.08,27.84,26.08,26.08,76,3.83,82,NE,3600,missing value
244,flinders,-34.58,150.86,14.44,11.18,14.44,14.44,60,3.58,0,AU,36000,Shellharbour Resort & Conference Centre
70,fort frances,48.6,-93.4,19.07,16.79,18.89,19.44,68,4.6,90,CA,-18000,LA PLACE RENDEZ-VOUS
584,gamboma,-1.88,15.86,26.41,28.71,26.41,26.41,69,2.17,66,CG,3600,Hotel Vianette
76,gazli,40.13,63.45,27.94,22.96,27.94,27.94,25,5.83,0,UZ,18000,missing value
406,ginir,7.13,40.7,20.58,19.71,20.58,20.58,62,2.59,25,ET,10800,Sura Dare Village
23,gisborne,-38.65,178.0,7.78,5.8,7.78,7.78,76,0.89,44,NZ,43200,ASURE Alfresco Motor Lodge
40,gorkovskiy,45.65,41.2,26.43,23.85,26.43,26.43,27,2.34,0,RU,10800,missing value
410,grand gaube,-20.01,57.66,24.44,23.76,24.44,24.44,64,4.47,74,MU,14400,Veranda Paul et Virginie Hotel & Spa
84,grindavik,63.84,-22.43,9.0,6.82,9.0,9.0,76,1.5,75,IS,0,Northern Light Inn & Max's Restaurant
513,havre,49.58,0.33,16.38,8.89,16.0,17.0,72,11.3,90,FR,7200,gite bois jourdain
271,hervey bay,-25.3,152.85,21.76,16.6,21.67,22.0,33,5.7,0,AU,36000,Shelly Bay Resort
30,hobart,-42.88,147.33,12.68,5.42,11.67,14.0,44,7.7,75,AU,36000,St Ives Apartments
526,hofn,64.25,-15.21,10.28,9.16,10.28,10.28,76,0.36,0,IS,0,Hótel Höfn
257,invercargill,-46.4,168.35,7.22,2.19,7.22,7.22,72,4.92,100,NZ,43200,Balmoral Lodge Motel
242,iquique,-20.22,-70.14,16.0,14.79,16.0,16.0,77,2.6,90,CL,-14400,Backpacker`s Hostel Iquique
188,itainopolis,-7.45,-41.48,21.24,21.43,21.24,21.24,74,2.79,0,BR,-10800,Pousada Posto Club Frank Aguiar
292,jalu,29.03,21.55,28.73,29.03,28.73,28.73,42,1.64,0,LY,7200,Jalu Hotel
337,jijiga,9.35,42.8,20.71,16.6,20.71,20.71,65,7.62,42,ET,10800,RAMAAS HOTEL
224,joshimath,30.57,79.57,24.65,23.94,24.65,24.65,54,3.17,66,IN,19800,Shivalik Camps & Resort
527,kaduqli,11.02,29.72,26.33,29.72,26.33,26.33,79,2.17,100,SD,7200,فندق الله جابو
162,kaitangata,-46.28,169.85,9.44,4.1,9.44,9.44,54,4.92,100,NZ,43200,Kaitangata Motor Camp
229,kambove,-10.88,26.6,24.0,21.69,24.0,24.0,35,2.49,9,CD,7200,Couvant des soeurs catholiques
219,kamskiye polyany,55.43,51.42,20.0,19.83,20.0,20.0,77,3.0,20,RU,10800,missing value
289,karratha,-20.74,116.85,32.16,28.65,32.16,32.16,21,4.04,0,AU,28800,ibis Styles Karratha
492,katangli,51.71,143.23,19.34,16.3,19.34,19.34,67,5.7,1,RU,39600,missing value
601,katherine,-14.47,132.27,35.0,25.6,35.0,35.0,6,9.3,0,AU,34200,Pine Tree Motel
0,khatanga,71.97,102.5,22.65,19.92,22.65,22.65,39,3.23,47,RU,25200,"Gostinitsa ""Zapolyar'ye"""
310,kijang,35.24,129.21,31.0,29.89,31.0,31.0,66,9.8,75,KR,32400,Brown Dot Gijang Yeonhwari
405,kilindoni,-7.91,39.67,25.51,26.88,25.51,25.51,76,3.99,34,TZ,10800,Bustani B&B
613,klyuchi,52.27,79.17,20.83,16.86,20.83,20.83,44,5.05,100,RU,25200,Vesolaya Mayovka
