Unnamed: 0,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone,Hotel
232,abinsk,44.87,38.16,21.52,21.09,20.56,23.33,46,0.45,7,RU,10800,Hotel Evropa
602,aguas formosas,-17.08,-40.94,20.38,20.48,20.38,20.38,79,3.03,7,BR,-10800,HAVAY PALACE HOTEL
43,ahipara,-35.17,173.17,11.96,8.08,11.96,11.96,68,4.3,31,NZ,43200,Ahipara Holiday Park
67,aklavik,68.22,-135.01,19.0,17.42,19.0,19.0,48,1.5,75,CA,-21600,Aklavik Inn
124,aksu,41.12,80.26,24.57,23.68,24.57,24.57,32,0.2,0,CN,28800,Pudong Holiday Hotel
592,alice springs,-23.7,133.88,6.0,1.33,6.0,6.0,60,3.6,0,AU,34200,Desert Palms Alice Springs
563,alofi,-19.06,-169.92,25.0,23.74,25.0,25.0,78,7.7,75,NU,-39600,Taloa Heights
65,ambilobe,-13.2,49.05,21.63,20.92,21.63,21.63,57,2.22,84,MG,10800,Hôtel & Restaurant DIANA Ambilobe
493,ampanihy,-24.7,44.75,15.12,11.47,15.12,15.12,73,5.4,0,MG,10800,Angora Hotel
152,andahuaylas,-13.66,-73.39,18.26,13.98,18.26,18.26,28,3.16,29,PE,-18000,La Mansion Casa Hotel
29,antalaha,-14.9,50.28,19.34,17.47,19.34,19.34,80,5.4,13,MG,10800,Hotel Vitasoa
319,antofagasta,-23.65,-70.4,14.0,6.53,14.0,14.0,71,10.3,20,CL,-14400,Hotel Terrado Suites Antofagasta
327,arlit,18.74,7.39,31.37,26.4,31.37,31.37,43,10.66,81,NE,3600,Hôtel Telwa Bungalow
613,arona,28.1,-16.68,23.62,23.06,23.0,24.44,73,5.1,5,ES,3600,Paradise Court
52,arraial do cabo,-22.97,-42.03,23.42,22.0,23.0,24.0,73,6.2,0,BR,-10800,Pousada Porto Praia
228,aswan,24.09,32.91,33.35,28.86,33.35,33.35,18,5.04,9,EG,7200,Nuba Nile
356,atasu,48.68,71.64,21.71,18.05,21.71,21.71,43,4.76,43,KZ,21600,Dostyk
63,atuona,-9.8,-139.03,26.2,24.64,26.2,26.2,79,9.14,28,PF,-34200,Villa Enata
99,avarua,-21.21,-159.78,25.0,25.54,25.0,25.0,61,2.6,79,CK,-36000,Paradise Inn
